Developmental toxicity,Carcinogenicity,Androgenicity,Estrogenicity,Mutagenicity,Skin irritation,Chromosomal aberration,Hepatoxicity
1542,1883,1597,1103,1154,1727.0,2031,1587
136,429,776,905,1883,20.0,1903,1795
940,1072,1267,1342,283,1185.0,1523,1142
712,1995,965,23,1837,1791.0,1787,1509
1355,962,974,1259,1632,758.0,802,1938
1902,1837,2008,578,1920,1096.0,147,1904
48,1184,2028,1966,1307,888.0,1755,1457
718,1138,973,182,1432,613.0,1359,856
1513,804,1076,338,96,1447.0,1371,54
1195,347,697,439,586,112.0,1947,257
1265,1791,1206,1451,253,1837.0,1075,1519
1705,684,286,845,2035,730.0,1170,1958
685,1642,1380,438,227,1256.0,1685,377
1469,1185,187,501,0,781.0,1576,466
684,1201,1729,2027,411,940.0,756,580
109,1447,1352,896,1366,1166.0,1515,114
1931,55,1035,2007,684,1501.0,305,387
1201,79,636,1739,331,689.0,1217,120
656,308,241,696,553,1194.0,1559,1069
1800,1319,1748,1304,1867,1546.0,411,674
79,1235,1432,899,1791,929.0,435,209
797,892,441,523,1099,1469.0,1535,491
1910,175,1304,809,999,156.0,1363,709
1404,1939,1834,1351,1976,1248.0,1146,155
166,1905,698,610,389,1217.0,146,824
1882,1437,686,773,1682,1608.0,482,459
1634,740,873,1352,1774,1869.0,1820,1833
818,346,1108,1667,1615,1455.0,1837,24
820,1093,1759,1097,1194,583.0,1139,850
783,1167,503,934,941,977.0,1574,947
1668,734,1128,1315,805,894.0,1708,879
1474,969,738,1931,1357,144.0,774,1185
669,1527,1045,359,1668,357.0,1809,1974
1523,886,1782,449,1826,1051.0,326,0
1487,1465,95,885,634,1450.0,412,59
1190,1452,157,849,1031,1238.0,174,493
1626,1882,1933,1278,1418,155.0,1896,534
1223,1158,1533,1150,305,1896.0,1690,9
1314,1800,140,1951,661,563.0,657,92
948,96,1950,67,1925,1298.0,291,855
951,278,1867,289,1936,1105.0,1113,737
547,1483,1868,868,122,818.0,2007,1087
1234,1246,745,1126,1820,1806.0,856,144
1616,10,323,1271,2003,1530.0,1123,1287
1527,25,1899,72,1939,2030.0,626,1606
1867,1816,283,286,1708,336.0,197,239
1819,979,1997,1384,1553,732.0,1926,421
1884,443,2038,1452,921,166.0,361,870
32,1657,199,450,730,198.0,908,1846
836,1769,1642,1345,1873,1381.0,1680,888
2023,1574,1657,174,1910,685.0,1714,1162
581,1824,1734,549,954,1319.0,818,1246
1827,35,35,1154,993,709.0,1054,1569
527,1343,1908,388,779,455.0,1537,1318
1570,2039,1340,1922,2043,834.0,527,590
1194,1462,41,1474,694,1734.0,978,587
661,331,1502,166,1208,718.0,1568,1265
1492,798,485,1897,927,766.0,430,216
1607,1257,603,1229,878,1906.0,47,318
1193,277,388,478,1512,1186.0,1534,98
1146,390,285,1521,1954,524.0,1512,1830
184,112,1940,377,2014,797.0,1961,2018
1755,471,352,284,1094,962.0,1023,1844
1264,928,1343,704,416,59.0,573,2017
1688,460,1633,1235,1253,1303.0,577,1946
1258,1526,1328,27,631,2007.0,1691,1686
1537,1469,1177,1447,1890,1020.0,10,1342
1798,2043,201,1945,2028,1556.0,889,583
65,1413,1709,776,1188,1067.0,893,1167
2026,329,185,512,1691,308.0,1629,131
682,935,1761,1635,1292,1351.0,429,802
1182,1076,178,1062,393,1998.0,1275,681
1508,340,560,1225,276,1258.0,879,1565
799,1118,1078,575,702,859.0,1879,69
1592,1344,1705,499,465,1982.0,972,1297
1374,823,1404,1534,566,1883.0,491,431
679,1554,925,651,1169,672.0,1587,1234
1640,529,1540,339,1928,703.0,1195,1937
1878,1494,645,756,1170,699.0,731,1660
1519,535,1207,558,624,700.0,365,1353
317,1088,313,1166,1242,701.0,128,2019
929,597,57,1709,866,702.0,1253,1944
1044,482,334,1393,1696,704.0,77,1926
1330,583,521,1261,732,698.0,736,1248
1358,1166,122,1328,157,680.0,452,246
1529,657,1576,1149,254,697.0,359,278
71,1188,1907,245,395,696.0,271,334
170,719,1460,318,308,681.0,1749,532
376,1862,610,960,1973,682.0,556,1559
1979,1906,164,1002,625,683.0,700,1355
1951,1698,144,1643,880,679.0,1530,1354
2033,1981,1474,1734,420,705.0,895,837
1019,1998,1332,156,39,684.0,542,912
1401,303,68,1639,799,678.0,379,1223
1998,778,1791,369,129,686.0,463,188
362,857,1877,1467,206,687.0,1458,242
2018,70,1756,1954,2034,688.0,1774,1956
1722,1105,1212,1692,1283,677.0,1095,252
1664,62,15,1636,160,690.0,772,214
755,1647,482,399,1235,674.0,1544,1428
511,752,1703,269,1848,691.0,136,496
1014,1398,2007,1234,1630,673.0,263,1187
1721,1921,669,1728,1783,693.0,287,483
1272,1196,913,694,1141,695.0,608,482
1171,86,1127,308,7,2047.0,156,227
595,873,357,1039,218,720.0,1810,921
1098,1194,1440,235,972,706.0,1401,14
930,818,1335,497,429,707.0,528,523
512,1709,859,688,962,738.0,395,1791
498,1786,51,261,1279,740.0,886,1417
1261,1237,1451,266,1646,741.0,1905,1998
336,814,551,229,376,742.0,1911,5
304,2008,1835,918,1695,743.0,220,250
1622,1866,954,825,663,744.0,707,637
1251,825,652,1408,1020,745.0,976,1447
1600,895,1792,1862,531,746.0,434,1719
554,527,1437,674,1537,747.0,1351,465
100,156,1665,1653,1723,748.0,1683,864
1432,1264,133,1013,1146,749.0,513,1662
1271,129,1856,681,1638,750.0,141,1953
1683,271,583,730,843,751.0,737,1134
809,1295,438,675,685,752.0,66,13
1922,1495,213,1677,1395,753.0,1694,1289
2016,1935,909,1646,1185,754.0,1247,1578
1424,1873,1654,1049,1213,755.0,256,1725
657,1915,47,942,565,756.0,952,707
720,1159,773,140,382,757.0,330,138
1712,1399,1157,1647,150,759.0,786,1676
143,525,2044,1140,285,760.0,109,1361
1372,386,1537,1747,1635,737.0,1192,1169
292,1137,1116,656,214,736.0,18,507
2037,1729,1414,1770,717,735.0,404,1465
1221,1432,139,846,57,719.0,1449,1264
1862,493,109,1362,1759,708.0,420,25
1786,730,451,824,711,710.0,1418,874
562,190,1668,1611,229,711.0,88,122
1581,155,1685,327,1196,712.0,642,756
92,1732,1559,162,83,713.0,1913,1226
389,402,488,1038,1128,714.0,1867,639
1352,1,259,1608,259,715.0,1239,1537
1615,61,1900,1736,1426,716.0,1459,548
