thr,survived,communities,modularity,survivedNorm,delta
0.05,748,21,0.19783355453913823,1.0,0.8021664454608618
0.1,748,15,0.285967161288167,1.0,0.714032838711833
0.15,744,15,0.43268724302597467,0.9946524064171123,0.5619651633911376
0.2,736,26,0.5680633991347703,0.983957219251337,0.4158938201165666
0.25,716,33,0.6925600514932285,0.9572192513368984,0.2646591998436699
0.3,687,42,0.7928313724335653,0.9184491978609626,0.1256178254273973
0.35,654,48,0.8540829689815965,0.8743315508021391,0.020248581820542566
0.4,609,65,0.8882404461469088,0.8141711229946524,0.07406932315225634
0.45,579,83,0.9201886701898121,0.7740641711229946,0.14612449906681746
0.5,539,85,0.9299814549663757,0.7205882352941176,0.2093932196722581
0.55,498,99,0.932457776066957,0.6657754010695187,0.2666823749974383
0.6,458,111,0.9335374296238905,0.6122994652406417,0.3212379643832488
0.65,414,114,0.9261349131715136,0.553475935828877,0.37265897734263664
0.7,351,106,0.9143758612326287,0.4692513368983957,0.445124524334233
0.75,303,100,0.9021792755014784,0.4050802139037433,0.49709906159773504
0.8,239,80,0.9014261891656469,0.3195187165775401,0.5819074725881068
0.85,178,57,0.8946507508859641,0.23796791443850268,0.6566828364474615
0.9,137,43,0.8920038875075194,0.18315508021390375,0.7088488072936157
0.95,102,35,0.8613492499186022,0.13636363636363635,0.7249856135549658
