thr,survived,communities,modularity,survivedNorm,delta
0.05,819,93,0.0495307770832623,1.0,0.9504692229167377
0.1,819,97,0.052080412732098465,1.0,0.9479195872679015
0.15,819,76,0.07378806425107501,1.0,0.926211935748925
0.2,815,60,0.1086616132355702,0.9951159951159951,0.8864543818804249
0.25,797,58,0.1517274459441209,0.9731379731379731,0.8214105271938522
0.3,781,45,0.20025857155422064,0.9536019536019537,0.753343382047733
0.35,739,52,0.2866561472934649,0.9023199023199023,0.6156637550264374
0.4,714,62,0.3938347466339181,0.8717948717948718,0.4779601251609537
0.45,675,76,0.5035272255997412,0.8241758241758241,0.32064859857608297
0.5,629,92,0.651160605409114,0.7680097680097681,0.11684916260065403
0.55,576,108,0.7417742297432349,0.7032967032967034,0.038477526446531574
0.6,532,114,0.8114495380482911,0.6495726495726496,0.16187688847564152
0.65,475,103,0.8601733996381662,0.57997557997558,0.28019781966258617
0.7,429,100,0.9053313286073648,0.5238095238095238,0.3815218047978409
0.75,386,100,0.9406537885601075,0.4713064713064713,0.4693473172536362
0.8,317,88,0.9543892097262255,0.38705738705738707,0.5673318226688384
0.85,260,85,0.9672809569325621,0.31746031746031744,0.6498206394722447
0.9,180,65,0.9695750998759253,0.21978021978021978,0.7497948800957055
0.95,101,43,0.9638606893588416,0.12332112332112333,0.8405395660377183
