thr,survived,communities,modularity,survivedNorm,delta
0.05,1528,48,0.14910645895747418,1.0,0.8508935410425258
0.1,1528,42,0.19302942506467852,1.0,0.8069705749353215
0.15,1520,28,0.2934559122085643,0.9947643979057592,0.701308485697195
0.2,1512,21,0.3963430786629032,0.9895287958115183,0.5931857171486151
0.25,1488,32,0.5154499304187343,0.9738219895287958,0.4583720591100615
0.3,1457,44,0.6316054587779253,0.9535340314136126,0.3219285726356873
0.35,1416,59,0.7305840337083194,0.9267015706806283,0.19611753697230894
0.4,1352,84,0.8031396446283576,0.8848167539267016,0.08167710929834393
0.45,1292,116,0.8399498384724066,0.8455497382198953,0.005599899747488757
0.5,1187,146,0.8521425854836402,0.7768324607329843,0.0753101247506559
0.55,1073,178,0.8758599873820544,0.7022251308900523,0.17363485649200205
0.6,967,197,0.9006443205718866,0.6328534031413613,0.2677909174305253
0.65,843,198,0.9206393225185685,0.5517015706806283,0.3689377518379402
0.7,720,192,0.9196059765512498,0.4712041884816754,0.44840178806957437
0.75,606,177,0.9439689163499624,0.39659685863874344,0.5473720577112189
0.8,487,155,0.9513134831953749,0.318717277486911,0.632596205708464
0.85,360,117,0.951846215204545,0.2356020942408377,0.7162441209637074
0.9,282,96,0.9491347718691826,0.18455497382198952,0.7645797980471931
0.95,190,69,0.9388886180198012,0.1243455497382199,0.8145430682815813
