thr,survived,communities,modularity,survivedNorm,delta
0.05,1051,235,0.022498984702096513,1.0,0.9775010152979035
0.1,1051,234,0.026149516697349304,1.0,0.9738504833026507
0.15,1046,204,0.03611582356120871,0.9952426260704091,0.9591268025092005
0.2,1038,181,0.04826166406723697,0.9876308277830638,0.9393691637158268
0.25,1019,146,0.06494916605722197,0.9695528068506185,0.9046036407933965
0.3,997,116,0.08431428768128144,0.9486203615604186,0.8643060738791372
0.35,953,97,0.11445364071966123,0.9067554709800191,0.7923018302603578
0.4,896,84,0.15149155093218838,0.8525214081826832,0.7010298572504948
0.45,810,91,0.20856559545796863,0.7706945765937203,0.5621289811357517
0.5,738,111,0.2780132955289704,0.7021883920076119,0.42417509647864143
0.55,646,108,0.354492222424392,0.6146527117031398,0.26016048927874785
0.6,560,116,0.4576012165705707,0.532825880114177,0.0752246635436063
0.65,497,112,0.6202636346639019,0.47288296860133205,0.14738066606256983
0.7,433,99,0.7907414644478977,0.41198858230256896,0.37875288214532876
0.75,374,93,0.9139843682977458,0.3558515699333968,0.5581327983643489
0.8,311,86,0.9422444431386032,0.29590865842055186,0.6463357847180513
0.85,236,77,0.9661136041647628,0.22454804947668885,0.741565554688074
0.9,162,63,0.9659625925981837,0.15413891531874405,0.8118236772794397
0.95,93,41,0.9569110731401544,0.08848715509039011,0.8684239180497644
