thr,survived,communities,modularity,survivedNorm,delta
0.05,666,31,0.14684657439495372,1.0,0.8531534256050463
0.1,660,24,0.20769552132129482,0.990990990990991,0.7832954696696961
0.15,655,15,0.3048789715873005,0.9834834834834835,0.678604511896183
0.2,648,13,0.4021832787730203,0.972972972972973,0.5707896941999527
0.25,639,30,0.5208230448212819,0.9594594594594594,0.4386364146381775
0.3,606,38,0.6326659719579437,0.9099099099099099,0.2772439379519662
0.35,574,53,0.7464032843149746,0.8618618618618619,0.11545857754688726
0.4,534,63,0.8369044543392583,0.8018018018018018,0.03510265253745648
0.45,475,73,0.8944945601298552,0.7132132132132132,0.181281346916642
0.5,435,81,0.9253626861511607,0.6531531531531531,0.27220953299800754
0.55,392,93,0.9493463104535736,0.5885885885885885,0.3607577218649851
0.6,348,98,0.9598648037481812,0.5225225225225225,0.43734228122565866
0.65,281,91,0.9644884776963981,0.4219219219219219,0.5425665557744762
0.7,227,80,0.9598155207070357,0.3408408408408408,0.6189746798661948
0.75,189,73,0.9574665925865002,0.28378378378378377,0.6736828088027165
0.8,133,54,0.9536554000413294,0.1996996996996997,0.7539557003416297
0.85,83,35,0.9439782319334176,0.12462462462462462,0.8193536073087929
0.9,61,27,0.9427067974141817,0.0915915915915916,0.8511152058225901
0.95,30,14,0.8816346457454949,0.04504504504504504,0.8365896007004499
