thr,survived,communities,modularity,survivedNorm,delta
0.05,303,9,0.2894457628429297,1.0,0.7105542371570703
0.1,303,6,0.39816620034203476,1.0,0.6018337996579652
0.15,299,9,0.45752233786491664,0.9867986798679867,0.5292763420030702
0.2,290,12,0.5119170078138775,0.9570957095709571,0.44517870175707963
0.25,278,18,0.5683016725772966,0.9174917491749175,0.3491900765976209
0.3,270,18,0.655339810473102,0.8910891089108911,0.23574929843778913
0.35,259,25,0.7067241033072509,0.8547854785478548,0.14806137524060392
0.4,248,30,0.7541790343761658,0.8184818481848185,0.06430281380865266
0.45,231,33,0.7836675859272003,0.7623762376237624,0.02129134830343793
0.5,212,37,0.7968106989372776,0.6996699669966997,0.09714073194057793
0.55,176,37,0.8024258809477272,0.5808580858085809,0.22156779513914626
0.6,153,35,0.8269791250728047,0.504950495049505,0.32202863002329973
0.65,130,40,0.8385368915269955,0.429042904290429,0.4094939872365665
0.7,109,35,0.8686019329572436,0.35973597359735976,0.5088659593598839
0.75,87,33,0.9312276889867733,0.2871287128712871,0.6440989761154863
0.8,65,26,0.9074270644978931,0.2145214521452145,0.6929056123526787
0.85,54,21,0.8883155842941832,0.1782178217821782,0.7100977625120051
0.9,42,16,0.8584286339302578,0.13861386138613863,0.7198147725441192
0.95,26,9,0.8014268727705115,0.0858085808580858,0.7156182919124257
