Id	CAS	SMILES	Status	Experimental value 	Predicted value 
1	50-14-6	CC(C)C(C)C=CC(C)C1CCC2C(CCCC21C)=CC=C1CC(O)CCC1=C	Training	Active	Active
2	53-19-0	ClC(Cl)C(c1ccccc1Cl)c1ccc(Cl)cc1	Training	Active	Active
3	72-54-8	ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1	Training	Active	Active
4	115-32-2	OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl	Training	Active	Active
5	129453-61-8	CC12CCC3C(C1CCC2O)C(Cc1cc(O)ccc13)CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F	Training	Active	Active
6	2467-02-9	Oc1ccccc1Cc1ccccc1O	Training	Active	Active
7	55285-14-8	CN(SN(CCCC)CCCC)C(=O)Oc1cccc2CC(C)(C)Oc21	Training	Active	Active
8	206-44-0	c1ccc2c3c(cccc31)-c1ccccc1-2	Training	Active	Active
9	N.A.	NC(=O)c1[nH]c([n][n]1)-c1cc(ccc1)-c1cc(F)ccc1OCC(F)(F)C(F)(F)F	Training	Active	Active
10	120-32-1	Oc1ccc(Cl)cc1Cc1ccccc1	Training	Active	Active
11	80-05-7	CC(C)(c1ccc(O)cc1)c1ccc(O)cc1	Training	Active	Active
12	3844-45-9	CC[N+](Cc1cc(ccc1)S(O)(=O)=O)=C1C=CC(C=C1)=C(c1ccccc1S(O)(=O)=O)c1ccc(cc1)N(Cc1cc(ccc1)S(O)(=O)=O)CC	Training	Active	Active
13	2425-06-1	O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl	Training	Active	Active
14	133-06-2	O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl	Training	Active	Active
15	97-00-7	[O-][N+](=O)c1cc(ccc1Cl)[N+]([O-])=O	Training	Active	Active
16	510-15-6	CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1	Training	Active	Active
17	50-41-9	CCN(CCOc1ccc(cc1)C(=C(Cl)c1ccccc1)c1ccccc1)CC	Training	Active	Active
18	427-51-0	CC12CCC3C(C=C(Cl)C4=CC(=O)C5CC5C43C)C1CCC2(OC(C)=O)C(C)=O	Training	Active	Active
19	53-43-0	CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O	Training	Active	Active
20	56-53-1	CCC(c1ccc(O)cc1)=C(CC)c1ccc(O)cc1	Training	Active	Active
21	N.A.	COc1cc(ccc1N)-c1cc(OC)c(N)cc1	Training	Active	Active
22	57-97-6	Cc1c2ccc3ccccc3c2c(C)c2ccccc12	Training	Active	Active
23	N.A.	Cc1cc(ccc1N)-c1cc(C)c(N)cc1	Training	Active	Active
24	57-63-6	CC12CCC3C(CCc4cc(O)ccc43)C1CCC2(O)C#C	Training	Active	Active
25	55-38-9	Cc1cc(ccc1SC)OP(=S)(OC)OC	Training	Active	Active
26	2353-45-9	CC[N+](Cc1cc(ccc1)S(O)(=O)=O)=C1C=CC(C=C1)=C(c1ccc(O)cc1S(O)(=O)=O)c1ccc(cc1)N(Cc1cc(ccc1)S(O)(=O)=O)CC	Training	Active	Active
27	143-50-0	O=C1C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C21Cl)C4(Cl)Cl	Training	Active	Active
28	72-33-3	CC12CCC3C(CCc4cc(ccc43)OC)C1CCC2(O)C#C	Training	Active	Active
29	298-00-0	COP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OC	Training	Active	Active
30	119-47-1	CC(C)(C)c1cc(C)cc(Cc2cc(C)cc(c2O)C(C)(C)C)c1O	Training	Active	Active
31	56-38-2	CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC	Training	Active	Active
32	77-09-8	Oc1ccc(cc1)C1(OC(=O)c2ccccc12)c1ccc(O)cc1	Training	Active	Active
33	92-69-3	Oc1ccc(cc1)-c1ccccc1	Training	Active	Active
34	50-55-5	COC(=O)C1C(OC)C(CC2CN3CCc4c([nH]c5cc(ccc45)OC)C3CC21)OC(=O)c1cc(OC)c(OC)c(c1)OC	Training	Active	Active
35	83-79-4	CC(=C)C1Cc2c3OC4COc5cc(OC)c(cc5C4C(=O)c3ccc2O1)OC	Training	Active	Active
36	97-23-4	Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O	Training	Active	Active
37	709-98-8	CCC(=O)Nc1cc(Cl)c(Cl)cc1	Training	Active	Active
38	15972-60-8	COCN(C(=O)CCl)c1c(CC)cccc1CC	Training	Active	Active
39	2971-36-0	Oc1ccc(cc1)C(c1ccc(O)cc1)C(Cl)(Cl)Cl	Training	Active	Active
40	789-02-6	Clc1ccc(cc1)C(c1ccccc1Cl)C(Cl)(Cl)Cl	Training	Active	Active
41	92-04-6	Oc1cc(Cl)c(cc1)-c1ccccc1	Training	Active	Active
42	140-66-9	CC(C)(C)CC(C)(C)c1ccc(O)cc1	Training	Active	Active
43	50471-44-8	CC1(C=C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O	Training	Active	Active
44	50-27-1	CC12CCC3C(CCc4cc(O)ccc43)C1CC(O)C2O	Training	Active	Active
45	53-16-7	CC12CCC3C(CCc4cc(O)ccc43)C1CCC2=O	Training	Active	Active
46	84-16-2	CCC(C(CC)c1ccc(O)cc1)c1ccc(O)cc1	Training	Active	Active
47	77-40-7	CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1	Training	Active	Active
48	599-64-4	CC(C)(c1ccccc1)c1ccc(O)cc1	Training	Active	Active
49	34256-82-1	Cc1cccc(CC)c1N(COCC)C(=O)CCl	Training	Active	Active
50	67485-29-4	CC1(C)CNC(NC1)=NN=C(C=Cc1ccc(cc1)C(F)(F)F)C=Cc1ccc(cc1)C(F)(F)F	Training	Active	Active
51	35554-44-0	C=CCOC(C[n]1c[n]cc1)c1ccc(Cl)cc1Cl	Training	Active	Active
52	330-55-2	CON(C)C(=O)Nc1cc(Cl)c(Cl)cc1	Training	Active	Active
53	15299-99-7	CC(Oc1cccc2ccccc21)C(=O)N(CC)CC	Training	Active	Active
54	67747-09-5	CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)[n]1cc[n]c1	Training	Active	Active
55	60207-90-1	CCCC1COC(C[n]2c[n]c[n]2)(O1)c1ccc(Cl)cc1Cl	Training	Active	Active
56	24169-02-6	Clc1cc(Cl)c(cc1)C(C[n]1c[n]cc1)OCc1ccc(Cl)cc1	Training	Active	Active
57	79-94-7	CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1	Training	Active	Active
58	112-00-5	CCCCCCCCCCCC[N+](C)(C)C	Training	Active	Active
59	2772-45-4	CC(C)(c1cc(c(O)cc1)C(C)(C)c1ccccc1)c1ccccc1	Training	Active	Active
60	65277-42-1	CC(=O)N1CCN(CC1)c1ccc(cc1)OCC1COC(C[n]2c[n]cc2)(O1)c1ccc(Cl)cc1Cl	Training	Active	Active
61	13311-84-7	CC(C)C(=O)Nc1cc(c(cc1)[N+]([O-])=O)C(F)(F)F	Training	Active	Active
62	107534-96-3	CC(C)(C)C(O)(C[n]1c[n]c[n]1)CCc1ccc(Cl)cc1	Training	Active	Active
63	56-95-1	N=C(NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1	Training	Active	Active
64	3691-35-8	O=C(C(c1ccc(Cl)cc1)c1ccccc1)C1C(=O)c2ccccc2C1=O	Training	Active	Active
65	81777-89-1	CC1(C)CON(Cc2ccccc2Cl)C1=O	Training	Active	Active
66	68694-11-1	CCCOCC(=Nc1ccc(Cl)cc1C(F)(F)F)[n]1c[n]cc1	Training	Active	Active
67	116255-48-2	Clc1cc(Cl)c(cc1)C1(CC(Br)CO1)C[n]1c[n]c[n]1	Training	Active	Active
68	114369-43-6	N#CC(C[n]1c[n]c[n]1)(CCc1ccc(Cl)cc1)c1ccccc1	Training	Active	Active
69	126833-17-8	CC1(CCCCC1)C(=O)Nc1ccc(O)c(Cl)c1Cl	Training	Active	Active
70	79622-59-6	[O-][N+](=O)c1cc(c(Cl)c(c1Nc1[n]cc(cc1Cl)C(F)(F)F)[N+]([O-])=O)C(F)(F)F	Training	Active	Active
71	156052-68-5	Cc1c(Cl)cc(cc1Cl)C(=O)NC(C)(CC)C(=O)CCl	Training	Active	Active
72	122-14-5	Cc1cc(ccc1[N+]([O-])=O)OP(=S)(OC)OC	Training	Active	Active
73	131983-72-7	CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)C[n]1c[n]c[n]1	Training	Active	Active
74	52806-53-8	CC(C)(O)C(=O)Nc1cc(c(cc1)[N+]([O-])=O)C(F)(F)F	Training	Active	Active
75	32809-16-8	CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O	Training	Active	Active
76	63612-50-0	CC1(C)NC(=O)N(C1=O)c1cc(c(cc1)[N+]([O-])=O)C(F)(F)F	Training	Active	Active
77	82640-04-8	Oc1ccc(cc1)-c1[s]c2cc(O)ccc2c1C(=O)c1ccc(cc1)OCCN1CCCCC1	Training	Active	Active
78	125116-23-6	CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)C[n]1c[n]c[n]1	Training	Active	Active
79	110488-70-5	COc1ccc(cc1OC)C(=CC(=O)N1CCOCC1)c1ccc(Cl)cc1	Training	Active	Active
80	79983-71-4	CCCCC(O)(C[n]1c[n]c[n]1)c1ccc(Cl)cc1Cl	Training	Active	Active
81	125225-28-7	CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)C[n]1c[n]c[n]1	Training	Active	Active
82	112281-77-3	FC(F)C(F)(F)OCC(C[n]1c[n]c[n]1)c1ccc(Cl)cc1Cl	Training	Active	Active
83	57-09-0	CCCCCCCCCCCCCCCC[N+](C)(C)C	Training	Active	Active
84	19774-82-4	CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	Training	Active	Active
85	1478-61-1	Oc1ccc(cc1)C(c1ccc(O)cc1)(C(F)(F)F)C(F)(F)F	Training	Active	Active
86	5315-79-7	Oc1ccc2ccc3cccc4ccc1c2c34	Training	Active	Active
