Id	CAS	SMILES	Status	Experimental value 	Predicted value 
1	75-07-0	O=CC	Training	Carcinogen	NON-Carcinogen
2	60-35-5	O=C(N)C	Test	Carcinogen	NON-Carcinogen
3	53-96-3	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	Carcinogen	Carcinogen
4	79-06-1	O=C(N)C=C	Training	Carcinogen	NON-Carcinogen
5	3688-53-7	O=C(N)C(=Cc1oc(cc1)[N+](=O)O)c2occc2	Training	Carcinogen	Carcinogen
6	107-13-1	N#CC=C	Training	Carcinogen	NON-Carcinogen
7	50-76-0	O=C6OC(C)C(NC(=O)c2ccc(c1OC=5C(=Nc12)C(C(=O)NC3C(=O)NC(C(=O)N4CCCC4(C(=O)N(C)CC(=O)N(C)C(C(=O)OC3(C))C(C)C))C(C)C)=C(N)C(=O)C=5C)C)C(=O)NC(C(=O)N7CCCC7(C(=O)N(C)CC(=O)N(C)C6C(C)C))C(C)C	Training	Carcinogen	Carcinogen
8	309-00-2	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Test	Carcinogen	Carcinogen
9	107-05-1	C=CCCl	Training	Carcinogen	Carcinogen
10	712-68-5	O=[N+](O)c1oc(cc1)c2nnc(N)s2	Test	Carcinogen	Carcinogen
11	6109-97-3	Nc1ccc3c(c1)c2ccccc2n3CC	Training	Carcinogen	Carcinogen
12	117-79-3	O=C1c3ccccc3(C(=O)c2cc(N)ccc12)	Training	Carcinogen	Carcinogen
13	97-56-3	N(=Nc1ccccc1C)c2ccc(N)c(c2)C	Training	Carcinogen	Carcinogen
14	92-67-1	Nc1ccc(cc1)c2ccccc2	Training	Carcinogen	Carcinogen
15	61-82-5	n1cnc(N)[nH]1	Training	Carcinogen	Carcinogen
16	62-53-3	Nc1ccccc1	Training	Carcinogen	NON-Carcinogen
17	90-04-0	O(c1ccccc1(N))C	Training	Carcinogen	NON-Carcinogen
18	12674-11-2	c1cc(cc(c1)Cl)c2cc(cc(c2)Cl)Cl	Test	Carcinogen	Carcinogen
19	53469-21-9	c1cc(cc(c1c2ccc(cc2Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
20	12672-29-6	c1c(cc(cc1Cl)Cl)c2cc(cc(c2)Cl)Cl	Training	Carcinogen	Carcinogen
21	11097-69-1	c2cc(c1ccc(c(c1Cl)Cl)Cl)c(c(c2)Cl)Cl	Training	Carcinogen	Carcinogen
22	11096-82-5	c1cc(c(c(c1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
23	492-80-8	N=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	Carcinogen	Carcinogen
24	115-02-6	O=C(O)C(N)COC(=O)C=[N+]=N	Training	Carcinogen	Carcinogen
25	446-86-6	O=[N+](O)c1ncn(c1Sc3ncnc2nc[nH]c23)C	Training	Carcinogen	Carcinogen
26	103-33-3	N(=Nc1ccccc1)c2ccccc2	Training	Carcinogen	Carcinogen
27	56-55-3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	Test	Carcinogen	Carcinogen
28	71-43-2	c1ccccc1	Training	Carcinogen	NON-Carcinogen
29	92-87-5	Nc1ccc(cc1)c2ccc(N)cc2	Test	Carcinogen	Carcinogen
30	205-82-3	c1ccc4c(c1)ccc5c3cccc2cccc(c23)c45	Test	Carcinogen	Carcinogen
31	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	Carcinogen	Carcinogen
32	205-99-2	c1ccc3c(c1)cc5c2ccccc2c4cccc3c45	Training	Carcinogen	Carcinogen
33	207-08-9	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	Training	Carcinogen	Carcinogen
34	100-44-7	c1ccc(cc1)CCl	Training	Carcinogen	NON-Carcinogen
35	1694-09-3	O=S(=O)(O)c1cccc(c1)CN(c2ccc(cc2)C(c3ccc(cc3)N(Cc4cccc(c4)S(=O)(=O)O)CC)=C5C=CC(C=C5)=[N+](C)C)CC	Training	Carcinogen	Carcinogen
36	108-60-1	O(C(C)CCl)C(C)CCl	Training	Carcinogen	NON-Carcinogen
37	111-44-4	O(CCCl)CCCl	Training	Carcinogen	NON-Carcinogen
38	117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	Carcinogen	NON-Carcinogen
39	542-88-1	O(CCl)CCl	Test	Carcinogen	NON-Carcinogen
40	107-04-0	C(CBr)Cl	Training	Carcinogen	NON-Carcinogen
41	75-27-4	C(Cl)(Cl)Br	Test	Carcinogen	NON-Carcinogen
42	75-25-2	C(Br)(Br)Br	Training	Carcinogen	NON-Carcinogen
43	106-99-0	C=CC=C	Training	Carcinogen	Carcinogen
44	25013-16-5	Oc1ccc(OC)cc1C(C)(C)C	Training	Carcinogen	NON-Carcinogen
45	3068-88-0	O=C1OC(C)C1	Training	Carcinogen	NON-Carcinogen
46	569-61-9	N=C1C=CC(C=C1)=C(c2ccc(N)cc2)c3ccc(N)cc3	Training	Carcinogen	Carcinogen
47	2425-06-1	O=C1N(C(=O)C2CC=CCC12)SC(C(Cl)Cl)(Cl)Cl	Training	Carcinogen	NON-Carcinogen
48	133-06-2	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	Training	Carcinogen	NON-Carcinogen
49	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	Carcinogen	Carcinogen
50	305-03-3	O=C(O)CCCc1ccc(cc1)N(CCCl)CCCl	Training	Carcinogen	Carcinogen
51	12789-03-6	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Test	Carcinogen	Carcinogen
52	143-50-0	O=C1C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
53	115-28-6	O=C(O)C1C(C(=O)O)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Test	Carcinogen	Carcinogen
54	108171-26-2	CCC(C(C(CC(C(C(C)Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	NON-Carcinogen
55	126-99-8	C=CC(=C)Cl	Training	Carcinogen	Carcinogen
56	95-69-2	Nc1ccc(cc1C)Cl	Training	Carcinogen	NON-Carcinogen
57	563-47-3	C=C(C)CCl	Training	Carcinogen	NON-Carcinogen
58	95-83-0	Nc1ccc(cc1(N))Cl	Training	Carcinogen	NON-Carcinogen
59	510-15-6	O=C(OCC)C(O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	Carcinogen	Carcinogen
60	67-66-3	C(Cl)(Cl)Cl	Training	Carcinogen	Carcinogen
61	74-87-3	CCl	Test	Carcinogen	NON-Carcinogen
62	107-30-2	O(C)CCl	Training	Carcinogen	NON-Carcinogen
63	1897-45-6	N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl	Training	Carcinogen	NON-Carcinogen
