Id	CAS	SMILES	Status	Experimental value 	Predicted value 
1	100-00-5	O=[N+]([O-])c1ccc(cc1)Cl	Test	Active	Active
2	100-01-6	O=[N+]([O-])c1ccc(N)cc1	Training	Active	Active
3	100-21-0	O=C(O)c1ccc(cc1)C(=O)O	Training	Inactive	Inactive
4	100-22-1	c1cc(ccc1N(C)C)N(C)C	Training	Active	Inactive
5	100-41-4	c1ccc(cc1)CC	Training	Inactive	Inactive
6	100-44-7	c1ccc(cc1)CCl	Training	Active	Inactive
7	100-61-8	c1ccc(cc1)NC	Training	Active	Active
8	100-74-3	O1CCN(CC)CC1	Training	Inactive	Inactive
9	101-25-7	O=NN1CN2CN(N=O)CN(C1)C2	Training	Inactive	Inactive
10	101-61-1	c1cc(ccc1N(C)C)Cc2ccc(cc2)N(C)C	Training	Inactive	Inactive
11	101-67-7	c1cc(ccc1Nc2ccc(cc2)CCCCCCCC)CCCCCCCC	Training	Inactive	Inactive
12	101-70-2	O(c1ccc(cc1)Nc2ccc(OC)cc2)C	Training	Active	Active
13	101-72-4	c1ccc(cc1)Nc2ccc(cc2)NC(C)C	Training	Active	Active
14	101-73-5	O(c1ccc(cc1)Nc2ccccc2)C(C)C	Training	Active	Active
15	101-80-4	O(c1ccc(N)cc1)c2ccc(N)cc2	Training	Active	Active
16	102-06-7	N=C(Nc1ccccc1)Nc2ccccc2	Training	Inactive	Inactive
17	102-50-1	O(c1ccc(N)c(c1)C)C	Test	Active	Active
18	102-71-6	OCCN(CCO)CCO	Training	Inactive	Inactive
19	102-81-8	OCCN(CCCC)CCCC	Training	Active	Inactive
20	103-84-4	O=C(Nc1ccccc1)C	Training	Inactive	Inactive
21	103-85-5	NC(Nc1ccccc1)=S	Training	Active	Inactive
22	103-90-2	O=C(Nc1ccc(O)cc1)C	Training	Active	Active
23	104-67-6	O=C1OC(CC1)CCCCCCC	Training	Inactive	Inactive
24	104-94-9	O(c1ccc(N)cc1)C	Training	Active	Active
25	105-54-4	O=C(OCC)CCC	Training	Inactive	Inactive
26	105-55-5	N(C(NCC)=S)CC	Training	Inactive	Inactive
27	105-60-2	O=C1NCCCCC1	Test	Inactive	Inactive
28	10605-21-7	O=C(OC)Nc1nc2ccccc2([nH]1)	Training	Active	Active
29	106-24-1	OCC=C(C)CCC=C(C)C	Test	Inactive	Inactive
30	106-27-4	O=C(OCCC(C)C)CCC	Training	Inactive	Inactive
31	106-46-7	c1cc(ccc1Cl)Cl	Training	Inactive	Inactive
32	1066-40-6	O[Si](C)(C)C	Training	Inactive	Inactive
33	106-93-4	C(CBr)Br	Training	Active	Inactive
34	107-02-8	O=CC=C	Training	Inactive	Inactive
35	107-06-2	C(CCl)Cl	Training	Active	Inactive
36	107-13-1	N#CC=C	Training	Active	Active
37	107-35-7	O=S(=O)(O)CCN	Training	Inactive	Inactive
38	107-92-6	O=C(O)CCC	Training	Inactive	Inactive
39	108-30-5	O=C1OC(=O)CC1	Training	Inactive	Inactive
40	108-39-4	Oc1cccc(c1)C	Training	Active	Inactive
41	108-44-1	Nc1cccc(c1)C	Training	Inactive	Active
42	108-45-2	Nc1cccc(N)c1	Training	Active	Active
43	108-46-3	Oc1cccc(O)c1	Test	Active	Active
44	108-60-1	O(C(C)CCl)C(C)CCl	Training	Active	Inactive
45	108-64-5	O=C(OCC)CC(C)C	Training	Inactive	Inactive
46	108-67-8	c1c(cc(cc1C)C)C	Training	Inactive	Inactive
47	108-70-3	c1c(cc(cc1Cl)Cl)Cl	Training	Inactive	Inactive
48	108-78-1	n1c(nc(nc1N)N)N	Training	Inactive	Active
49	108-88-3	c1ccc(cc1)C	Training	Inactive	Inactive
50	108-91-8	NC1CCCCC1	Training	Active	Active
51	108-94-1	O=C1CCCCC1	Training	Inactive	Inactive
52	108-95-2	Oc1ccccc1	Test	Active	Active
53	109-69-3	CCCCCl	Training	Inactive	Inactive
54	109-70-6	C(CCl)CBr	Training	Active	Active
55	109-99-9	O1CCCC1	Training	Inactive	Inactive
56	110-00-9	o1cccc1	Training	Active	Inactive
57	110-02-1	c1ccsc1	Training	Inactive	Inactive
58	110-30-5	O=C(NCCNC(=O)CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC	Training	Inactive	Inactive
59	11042-64-1	O=C(OC1CCC25(CC35(CCC4(C)(C(CCC4(C)(C3(CCC2(C1(C)(C)))))C(C)CCC=C(C)C))))C=Cc6ccc(O)c(OC)c6	Training	Inactive	Inactive
60	110-44-1	O=C(O)C=CC=CC	Training	Inactive	Inactive
61	110-54-3	CCCCCC	Training	Inactive	Inactive
62	110-63-4	OCCCCO	Training	Inactive	Inactive
63	1107-26-2	O=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)C)C	Training	Inactive	Inactive
64	110-82-7	C1CCCCC1	Test	Inactive	Inactive
65	110-83-8	C1=CCCCC1	Training	Inactive	Inactive
66	110-86-1	n1ccccc1	Training	Inactive	Inactive
67	111-42-2	OCCNCCO	Training	Inactive	Inactive
68	1116-54-7	O=NN(CCO)CCO	Training	Active	Active
69	111-76-2	OCCOCCCC	Test	Inactive	Inactive
