thr,survived,communities,modularity,survivedNorm,delta
0.05,748,18,0.2055785402604024,1.0,0.7944214597395975
0.1,748,16,0.2807609410512949,1.0,0.7192390589487051
0.15,744,16,0.4264000491744171,0.9946524064171123,0.5682523572426952
0.2,736,25,0.5682659295804025,0.983957219251337,0.4156912896709345
0.25,716,32,0.6938790848552051,0.9572192513368984,0.26334016648169334
0.3,687,41,0.7957092995107446,0.9184491978609626,0.12273989835021792
0.35,654,48,0.8515266705645692,0.8743315508021391,0.02280488023756988
0.4,609,63,0.890722862029718,0.8141711229946524,0.07655173903506551
0.45,579,84,0.9210066640535824,0.7740641711229946,0.1469424929305878
0.5,539,86,0.9296106622438551,0.7205882352941176,0.2090224269497375
0.55,498,99,0.9324577760669569,0.6657754010695187,0.2666823749974382
0.6,458,111,0.9335374296238907,0.6122994652406417,0.32123796438324903
0.65,414,114,0.9261349131715136,0.553475935828877,0.37265897734263664
0.7,351,106,0.9143758612326289,0.4692513368983957,0.4451245243342332
0.75,303,100,0.9021792755014786,0.4050802139037433,0.49709906159773526
0.8,239,80,0.9014261891656468,0.3195187165775401,0.5819074725881066
0.85,178,57,0.8946507508859641,0.23796791443850268,0.6566828364474615
0.9,137,43,0.8920038875075194,0.18315508021390375,0.7088488072936157
0.95,102,35,0.8613492499186022,0.13636363636363635,0.7249856135549658
