thr,survived,communities,modularity,survivedNorm,delta
0.05,475,20,0.1581129779723862,1.0,0.8418870220276138
0.1,475,13,0.2607696584171407,1.0,0.7392303415828593
0.15,470,11,0.3856375212065227,0.9894736842105263,0.6038361630040036
0.2,467,16,0.5147822271719643,0.9831578947368421,0.4683756675648778
0.25,460,24,0.6507546005300637,0.968421052631579,0.31766645210151523
0.3,434,34,0.7451823979158563,0.9136842105263158,0.1685018126104595
0.35,408,48,0.8074792735349541,0.8589473684210527,0.0514680948860986
0.4,362,57,0.8630600703540361,0.7621052631578947,0.10095480719614136
0.45,324,62,0.911090207174111,0.6821052631578948,0.22898494401621627
0.5,291,63,0.9343403112970319,0.6126315789473684,0.32170873234966346
0.55,238,61,0.9529024089105612,0.5010526315789474,0.4518497773316138
0.6,210,65,0.9601752550306477,0.4421052631578947,0.5180699918727529
0.65,172,58,0.9603417309988701,0.36210526315789476,0.5982364678409753
0.7,139,50,0.9535021059962924,0.2926315789473684,0.6608705270489239
0.75,106,40,0.9464683771366594,0.2231578947368421,0.7233104823998173
0.8,83,32,0.9352248029066679,0.17473684210526316,0.7604879608014047
0.85,46,18,0.9036100153633188,0.0968421052631579,0.8067679101001608
0.9,35,14,0.8820667969587515,0.07368421052631578,0.8083825864324357
0.95,12,5,0.7415363282620331,0.02526315789473684,0.7162731703672962
