thr,survived,communities,modularity,survivedNorm,delta
0.05,819,96,0.04932549157566034,1.0,0.9506745084243396
0.1,819,97,0.05184812245431162,1.0,0.9481518775456884
0.15,819,78,0.07211568683290161,1.0,0.9278843131670984
0.2,815,58,0.10924560455938798,0.9951159951159951,0.8858703905566072
0.25,797,57,0.15145718615044834,0.9731379731379731,0.8216807869875248
0.3,781,48,0.19796108998054504,0.9536019536019537,0.7556408636214086
0.35,739,52,0.2894044123376618,0.9023199023199023,0.6129154899822405
0.4,714,63,0.38963204335001766,0.8717948717948718,0.48216282844485414
0.45,675,77,0.5134891170859893,0.8241758241758241,0.3106867070898348
0.5,629,92,0.6511606054091138,0.7680097680097681,0.11684916260065425
0.55,576,108,0.7417742297432347,0.7032967032967034,0.03847752644653135
0.6,532,114,0.8114495380482916,0.6495726495726496,0.16187688847564197
0.65,475,103,0.860173399638166,0.57997557997558,0.28019781966258595
0.7,429,100,0.9053218425780033,0.5238095238095238,0.38151231876847946
0.75,386,100,0.9406537885601074,0.4713064713064713,0.4693473172536361
0.8,317,88,0.9543892097262255,0.38705738705738707,0.5673318226688384
0.85,260,85,0.9672809569325622,0.31746031746031744,0.6498206394722448
0.9,180,65,0.9695750998759253,0.21978021978021978,0.7497948800957055
0.95,101,43,0.9638606893588417,0.12332112332112333,0.8405395660377184
