thr,survived,communities,modularity,survivedNorm,delta
0.05,1051,230,0.022594469681907408,1.0,0.9774055303180926
0.1,1051,229,0.026383697224233095,1.0,0.9736163027757669
0.15,1046,212,0.03602466616979634,0.9952426260704091,0.9592179599006128
0.2,1038,177,0.04977701745757255,0.9876308277830638,0.9378538103254912
0.25,1019,147,0.06720287260878566,0.9695528068506185,0.9023499342418329
0.3,997,114,0.08537663171509041,0.9486203615604186,0.8632437298453282
0.35,953,92,0.11404830813319654,0.9067554709800191,0.7927071628468225
0.4,896,91,0.15014713442488412,0.8525214081826832,0.702374273757799
0.45,810,88,0.19955579494895012,0.7706945765937203,0.5711387816447702
0.5,738,114,0.2727196140351258,0.7021883920076119,0.42946877797248606
0.55,646,108,0.3599432730324559,0.6146527117031398,0.25470943867068396
0.6,560,116,0.45883610476119435,0.532825880114177,0.07398977535298262
0.65,497,111,0.6016997643333729,0.47288296860133205,0.12881679573204086
0.7,433,99,0.7907414644478978,0.41198858230256896,0.3787528821453289
0.75,374,93,0.913975722946939,0.3558515699333968,0.5581241530135421
0.8,311,86,0.9422444431386032,0.29590865842055186,0.6463357847180513
0.85,236,77,0.966113604164763,0.22454804947668885,0.7415655546880742
0.9,162,63,0.9659625925981835,0.15413891531874405,0.8118236772794395
0.95,93,41,0.9569110731401542,0.08848715509039011,0.8684239180497642
