thr,survived,communities,modularity,survivedNorm,delta
0.05,666,29,0.14819300783495634,1.0,0.8518069921650436
0.1,660,23,0.20418570562212462,0.990990990990991,0.7868052853688663
0.15,655,15,0.2867459949705085,0.9834834834834835,0.6967374885129749
0.2,648,12,0.4040668269864455,0.972972972972973,0.5689061459865274
0.25,639,29,0.521687927050319,0.9594594594594594,0.43777153240914046
0.3,606,36,0.6336683686271603,0.9099099099099099,0.2762415412827497
0.35,574,52,0.7418538793298953,0.8618618618618619,0.12000798253196654
0.4,534,62,0.8357533918084231,0.8018018018018018,0.03395159000662129
0.45,475,73,0.8941622044033717,0.7132132132132132,0.1809489911901585
0.5,435,81,0.9240230562277127,0.6531531531531531,0.2708699030745596
0.55,392,93,0.9484001454704841,0.5885885885885885,0.3598115568818956
0.6,348,98,0.959134766708063,0.5225225225225225,0.43661224418554045
0.65,281,91,0.9643456276576307,0.4219219219219219,0.5424237057357087
0.7,227,80,0.9598440692956086,0.3408408408408408,0.6190032284547677
0.75,189,73,0.9576264429251556,0.28378378378378377,0.6738426591413719
0.8,133,54,0.9544750232693077,0.1996996996996997,0.754775323569608
0.85,83,35,0.9433138295050593,0.12462462462462462,0.8186892048804346
0.9,61,27,0.9511728289849772,0.0915915915915916,0.8595812373933857
0.95,30,14,0.906342790063147,0.04504504504504504,0.861297745018102
