thr,survived,communities,modularity,survivedNorm,delta
0.05,303,9,0.28996062965420694,1.0,0.710039370345793
0.1,303,7,0.3877537271612748,1.0,0.6122462728387252
0.15,299,10,0.4579857423699746,0.9867986798679867,0.5288129374980122
0.2,290,11,0.5059592151434079,0.9570957095709571,0.4511364944275492
0.25,278,17,0.5642942526746355,0.9174917491749175,0.353197496500282
0.3,270,19,0.6469029544640509,0.8910891089108911,0.24418615444684022
0.35,259,25,0.7113650589783919,0.8547854785478548,0.14342041956946294
0.4,248,30,0.7475666181814451,0.8184818481848185,0.07091523000337341
0.45,231,33,0.7802366027018065,0.7623762376237624,0.017860365078044116
0.5,212,37,0.795180839148783,0.6996699669966997,0.09551087215208331
0.55,176,37,0.8285672701089732,0.5808580858085809,0.24770918430039235
0.6,153,35,0.8269791250728047,0.504950495049505,0.32202863002329973
0.65,130,40,0.8381200727638994,0.429042904290429,0.4090771684734704
0.7,109,35,0.8686019329572439,0.35973597359735976,0.5088659593598841
0.75,87,33,0.9312276889867733,0.2871287128712871,0.6440989761154863
0.8,65,26,0.9074270644978931,0.2145214521452145,0.6929056123526787
0.85,54,21,0.8883155842941836,0.1782178217821782,0.7100977625120053
0.9,42,16,0.8584286339302577,0.13861386138613863,0.7198147725441191
0.95,26,9,0.8014268727705115,0.0858085808580858,0.7156182919124257
