Id	CAS	SMILES	Status	Experimental value 	Predicted value 
1	N.A.	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	NON-active	NON-active
2	N.A.	OC3CC(=CC=C1CCCC2(C)(C1CCC2(C(C=CC(C)C(C)C)C)))C(=C)CC3	Training	NON-active	NON-active
3	N.A.	O=C(O)C(O)C	Training	NON-active	Possible NON-active
4	N.A.	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)C(O)CC34)	Training	Active	Active
5	N.A.	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	Active	Active
6	N.A.	O=C3NC(=O)C(N2C(=O)c1ccccc1C2(=O))CC3	Training	NON-active	NON-active
7	N.A.	O(c1ccc(cc1)C(c2ccccc2)=C(c3ccccc3)Cl)CCN(CC)CC	Training	Active	Active
8	N.A.	c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN(C)C	Training	NON-active	NON-active
9	N.A.	O=C(OC3CC4CN2CCc1c5ccc(OC)cc5([nH]c1C2CC4(C(C(=O)OC)C3(OC))))c6cc(OC)c(OC)c(OC)c6	Training	NON-active	Possible active
10	N.A.	O=C(Nc1ccc(cc1Cl)[N+](=O)[O-])c2cc(ccc2(O))Cl	Training	NON-active	NON-active
11	N.A.	O=CC(O)C(O)C(O)CO	Training	NON-active	NON-active
12	N.A.	OCC(O)C(O)C(O)C(O)CO	Training	NON-active	NON-active
13	N.A.	O=C(O)c1ccccc1(OC(=O)C)	Training	NON-active	Possible NON-active
14	N.A.	O=C1OC(C(O)C1(=O))C(O)CO	Training	NON-active	NON-active
15	N.A.	O1c2cc(c(cc2(OC1))CCC)COCCOCCOCCCC	Training	NON-active	Possible NON-active
16	N.A.	O=C(OCCN(CC)CC)c1ccc(N)cc1	Training	NON-active	Possible NON-active
17	N.A.	O=C1N=CC(F)C(=O)N1	Training	NON-active	NON-active
18	N.A.	O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Training	NON-active	NON-active
19	N.A.	O=C1NC(N=C(C1)CCC)=S	Training	Active	Possible NON-active
20	N.A.	O=C(OCC)N	Training	NON-active	NON-active
21	N.A.	O=C1OC3(CC1)(CCC2C5C(CCC23(C))C4(C(=CC(=O)CC4)CC5SC(=O)C)(C))	Training	NON-active	Possible active
22	N.A.	O=[N+]([O-])C(CO)(CO)Br	Training	NON-active	NON-active
23	N.A.	O=P(OC)(OC)C(O)C(Cl)(Cl)Cl	Training	NON-active	NON-active
24	N.A.	O=C(c1ccc(F)cc1)CCCN3CCC(O)(c2ccc(cc2)Cl)CC3	Training	NON-active	Possible NON-active
25	N.A.	O=C2CCC3C4CCc1cc(O)ccc1C4(CCC23(C))	Training	Active	Active
26	N.A.	c1ccc(c(c1)C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	Active	Active
27	N.A.	O=C2CCC3C4CC=C1CC(O)CCC1(C)C4(CCC23(C))	Training	Active	Possible NON-active
28	N.A.	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Training	NON-active	NON-active
29	N.A.	O=C(O)Cc3c1cc(OC)ccc1n(C(=O)c2ccc(cc2)Cl)c3C	Training	NON-active	NON-active
30	N.A.	n1cccc(c1)C2N(C)CCC2	Training	NON-active	NON-active
31	N.A.	O=C(O)C(N)Cc2c[nH]c1ccccc12	Training	NON-active	NON-active
32	N.A.	O=C(O)c1ccccc1(O)	Training	NON-active	Possible NON-active
33	N.A.	O=C(O)CCC(NC(=O)c1ccc(cc1)NCc2nc3c(nc2)nc(nc3(N))N)C(=O)O	Training	NON-active	NON-active
34	N.A.	O=C(NN)c1ccncc1	Training	NON-active	NON-active
35	N.A.	O=C(O)c1cnccc1	Training	NON-active	NON-active
36	N.A.	O=C(O)C(N)Cc2cc(c(Oc1ccc(O)c(c1)I)c(c2)I)I	Training	Active	Possible NON-active
37	N.A.	O=NN(CC)CC	Training	NON-active	NON-active
38	N.A.	O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	NON-active	Possible NON-active
39	N.A.	N=C(Nc1ccc(cc1)Cl)NC(=N)NCCCCCCNC(=N)NC(=N)Nc2ccc(cc2)Cl	Training	NON-active	NON-active
40	N.A.	O=C1NC(N=C(C)C1)=S	Training	NON-active	Possible NON-active
41	N.A.	O=C(O)CCC(=O)O	Training	NON-active	Possible NON-active
42	N.A.	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Training	NON-active	NON-active
43	N.A.	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	Active	Possible active
44	N.A.	O=C2Oc1cc(OP(OCC)(OCC)=S)ccc1C(=C2Cl)C	Training	NON-active	NON-active
45	N.A.	OCC(O)CO	Training	NON-active	NON-active
46	N.A.	C(=NCC=C)=S	Training	NON-active	Not predicted
47	N.A.	O=C(N)N	Training	NON-active	Possible NON-active
48	N.A.	NN(C)C	Training	NON-active	Not predicted
49	N.A.	O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3	Training	NON-active	Possible NON-active
50	N.A.	OCC2OC(OC1(OC(CO)C(O)C1(O))(CO))C(O)C(O)C2(O)	Training	NON-active	NON-active
51	N.A.	OCC(O)C	Training	NON-active	Possible NON-active
52	N.A.	C#CC3(O)(CCC2C4CCc1cc(O)ccc1C4(CCC23(C)))	Training	Active	Active
53	N.A.	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	NON-active	NON-active
54	N.A.	O=C(OC2CCC3C4CCC1=CC(=O)CCC1(C)C4(CCC23(C)))CC	Training	Active	Possible active
55	N.A.	c1ccc2c(c1)ccc4c2c(c3ccccc3c4C)C	Training	NON-active	NON-active
56	N.A.	Oc1ccc4c(c1(O))c2cccc3c2C(N(C)CC3)C4	Training	NON-active	Possible NON-active
57	N.A.	O=C2c1c(ncn1C)N(C(=O)N2C)C	Training	NON-active	NON-active
58	N.A.	n1c(nc(c(c1N)c2ccc(cc2)Cl)CC)N	Training	NON-active	NON-active
