Id	CAS	SMILES	Status	Experimental value 	Predicted value 
1	60-11-7	N(=Nc1ccc(cc1)N(C)C)c2ccccc2	Training	Mutagenic	Mutagenic
2	28322-02-3	O=C(Nc1cccc3c1c2ccccc2C3)C	Training	Mutagenic	Mutagenic
3	129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	Training	Mutagenic	Mutagenic
4	67-66-3	C(Cl)(Cl)Cl	Training	NON-Mutagenic	Mutagenic
5	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	NON-Mutagenic	NON-Mutagenic
6	56-57-5	O=[N+]([O-])c1cc[n+]([O-])c2ccccc12	Training	Mutagenic	Mutagenic
7	91-59-8	Nc1ccc2ccccc2(c1)	Training	Mutagenic	Mutagenic
8	92-87-5	Nc1ccc(cc1)c2ccc(N)cc2	Training	Mutagenic	Mutagenic
9	53-96-3	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	Mutagenic	Mutagenic
10	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	Mutagenic	Mutagenic
12	680-31-9	O=P(N(C)C)(N(C)C)N(C)C	Training	NON-Mutagenic	NON-Mutagenic
13	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	NON-Mutagenic	Mutagenic
14	96-45-7	N1C(NCC1)=S	Training	NON-Mutagenic	NON-Mutagenic
15	3068-88-0	O=C1OC(C)C1	Training	Mutagenic	Mutagenic
16	94-59-7	O1c2ccc(cc2(OC1))CC=C	Training	NON-Mutagenic	Mutagenic
17	68-12-2	O=CN(C)C	Training	NON-Mutagenic	NON-Mutagenic
19	106-89-8	O1CC1CCl	Training	Mutagenic	Mutagenic
20	59-89-2	O=NN1CCOCC1	Training	Mutagenic	Mutagenic
22	57-57-8	O=C1OCC1	Training	Mutagenic	Mutagenic
23	71-55-6	CC(Cl)(Cl)Cl	Training	Mutagenic	NON-Mutagenic
24	51-79-6	O=C(OCC)N	Training	NON-Mutagenic	Mutagenic
25	79-44-7	O=C(N(C)C)Cl	Training	Mutagenic	Mutagenic
26	50-18-0	O=P1(OCCCN1)N(CCCl)CCCl	Training	Mutagenic	Mutagenic
27	61-82-5	n1c[nH]nc1N	Training	NON-Mutagenic	Mutagenic
28	101-14-4	Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl	Training	Mutagenic	Mutagenic
29	592-62-1	O=C(OCN=[N+]([O-])C)C	Training	Mutagenic	Mutagenic
30	57-50-1	OCC2OC(OC1(OC(CO)C(O)C1(O))(CO))C(O)C(O)C2(O)	Training	NON-Mutagenic	NON-Mutagenic
31	50-81-7	O=C1OC(C(O)=C1(O))C(O)CO	Training	NON-Mutagenic	NON-Mutagenic
32	636-21-5	Nc1ccccc1C	Training	NON-Mutagenic	Mutagenic
33	492-80-8	N=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	Mutagenic	Mutagenic
34	57-06-7	C(=NCC=C)=S	Training	Mutagenic	Mutagenic
35	2835-39-4	O=C(OCC=C)CC(C)C	Training	NON-Mutagenic	NON-Mutagenic
36	2432-99-7	O=C(O)CCCCCCCCCCN	Training	NON-Mutagenic	NON-Mutagenic
37	71-43-2	c1ccccc1	Training	NON-Mutagenic	NON-Mutagenic
38	140-11-4	O=C(OCc1ccccc1)C	Training	NON-Mutagenic	NON-Mutagenic
39	2185-92-4	Nc1ccccc1c2ccccc2	Training	Mutagenic	Mutagenic
40	108-60-1	O(C(C)CCl)C(C)CCl	Training	Mutagenic	Mutagenic
41	106-99-0	C=CC=C	Training	Mutagenic	NON-Mutagenic
42	108-90-7	c1ccc(cc1)Cl	Training	NON-Mutagenic	NON-Mutagenic
43	124-48-1	C(Cl)(Br)Br	Training	NON-Mutagenic	Mutagenic
44	2832-40-8	O=C(Nc2ccc(N=Nc1cc(ccc1(O))C)cc2)C	Training	Mutagenic	Mutagenic
45	842-07-9	Oc2ccc3ccccc3(c2(N=Nc1ccccc1))	Training	Mutagenic	Mutagenic
46	21739-91-3	O=C([O-])C=C(C(=O)c1ccc(OC)cc1)Br	Training	Mutagenic	Mutagenic
48	96-12-8	C(C(CBr)Br)Cl	Training	Mutagenic	Mutagenic
49	106-93-4	C(CBr)Br	Training	Mutagenic	Mutagenic
50	609-20-1	Nc1cc(c(N)c(c1)Cl)Cl	Training	Mutagenic	Mutagenic
52	103-23-1	O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC	Training	NON-Mutagenic	NON-Mutagenic
53	117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	NON-Mutagenic	NON-Mutagenic
54	101-90-6	O(c2cccc(OCC1OC1)c2)CC3OC3	Training	Mutagenic	Mutagenic
55	140-88-5	O=C(OCC)C=C	Training	NON-Mutagenic	NON-Mutagenic
56	2784-94-3	O=[N+]([O-])c1cc(ccc1(NC))N(CCO)CCO	Training	Mutagenic	Mutagenic
58	108-78-1	n1c(nc(nc1N)N)N	Training	NON-Mutagenic	Mutagenic
59	13552-44-8	Nc1ccc(cc1)Cc2ccc(N)cc2	Training	Mutagenic	Mutagenic
60	150-68-5	O=C(Nc1ccc(cc1)Cl)N(C)C	Training	NON-Mutagenic	NON-Mutagenic
61	101-80-4	O(c1ccc(N)cc1)c2ccc(N)cc2	Training	Mutagenic	Mutagenic
62	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Training	NON-Mutagenic	Mutagenic
63	75-56-9	O1CC1C	Training	Mutagenic	Mutagenic
64	542-75-6	C(=CCl)CCl	Training	Mutagenic	Mutagenic
65	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Training	NON-Mutagenic	NON-Mutagenic
66	630-20-6	C(C(Cl)(Cl)Cl)Cl	Training	NON-Mutagenic	Mutagenic
68	79-01-6	C(=C(Cl)Cl)Cl	Training	NON-Mutagenic	NON-Mutagenic
69	78-42-2	O=P(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC	Training	NON-Mutagenic	NON-Mutagenic
70	87-62-7	Nc1c(cccc1C)C	Training	NON-Mutagenic	NON-Mutagenic
71	17924-92-4	O=C1OC(C)CCCC(=O)CCCC=Cc2cc(O)cc(O)c12	Training	NON-Mutagenic	NON-Mutagenic
72	85-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Training	NON-Mutagenic	NON-Mutagenic
73	131-17-9	O=C(OCC=C)c1ccccc1(C(=O)OCC=C)	Training	NON-Mutagenic	NON-Mutagenic
74	97-53-0	Oc1ccc(cc1(OC))CC=C	Training	NON-Mutagenic	Mutagenic
75	119-53-9	O=C(c1ccccc1)C(O)c2ccccc2	Training	NON-Mutagenic	NON-Mutagenic
76	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	NON-Mutagenic	NON-Mutagenic
77	126-92-1	O=S(=O)([O-])OCC(CC)CCCC	Training	NON-Mutagenic	NON-Mutagenic
78	105-60-2	O=C1NCCCCC1	Training	NON-Mutagenic	NON-Mutagenic
79	107-07-3	OCCCl	Training	Mutagenic	Mutagenic
80	1936-15-8	O=S(=O)([O-])c3cc2ccc(O)c(N=Nc1ccccc1)c2c(c3)S(=O)(=O)[O-]	Training	NON-Mutagenic	Mutagenic
81	105-87-3	O=C(OCC=C(C)CCC=C(C)C)C	Training	NON-Mutagenic	NON-Mutagenic
82	3567-69-9	O=S(=O)([O-])c4ccc(N=Nc1cc(c2ccccc2(c1(O)))S(=O)(=O)[O-])c3ccccc34	Training	Mutagenic	NON-Mutagenic
83	95-50-1	c1ccc(c(c1)Cl)Cl	Training	NON-Mutagenic	NON-Mutagenic
84	33229-34-4	O=[N+]([O-])c1cc(ccc1(NCCO))N(CCO)CCO	Training	Mutagenic	Mutagenic
85	148-24-3	Oc1cccc2cccnc12	Training	Mutagenic	NON-Mutagenic
86	69-65-8	OCC(O)C(O)C(O)C(O)CO	Training	NON-Mutagenic	NON-Mutagenic
87	108-95-2	Oc1ccccc1	Training	NON-Mutagenic	NON-Mutagenic
88	115-07-1	C=CC	Training	Mutagenic	NON-Mutagenic
89	121-79-9	O=C(OCCC)c1cc(O)c(O)c(O)c1	Training	NON-Mutagenic	NON-Mutagenic
90	15481-70-6	Nc1cccc(N)c1C	Training	Mutagenic	Mutagenic
91	75-35-4	C=C(Cl)Cl	Training	Mutagenic	NON-Mutagenic
92	968-81-0	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	Training	NON-Mutagenic	NON-Mutagenic
93	116-06-3	O=C(ON=CC(C)(C)SC)NC	Training	NON-Mutagenic	NON-Mutagenic
94	101-05-3	n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl	Training	NON-Mutagenic	NON-Mutagenic
95	20265-97-8	O(c1ccc(N)cc1)C	Training	Mutagenic	Mutagenic
96	118-92-3	O=C(O)c1ccccc1(N)	Training	NON-Mutagenic	NON-Mutagenic
97	128-37-0	Oc1c(cc(cc1C(C)(C)C)C)C(C)(C)C	Training	NON-Mutagenic	NON-Mutagenic
98	77-65-6	O=C(N)NC(=O)C(CC)(CC)Br	Training	NON-Mutagenic	NON-Mutagenic
99	140-49-8	O=C(Nc1ccc(cc1)C(=O)CCl)C	Training	Mutagenic	Mutagenic
100	999-81-5	C[N+](C)(C)CCCl	Training	NON-Mutagenic	Mutagenic
101	6959-47-3	n1ccccc1CCl	Training	Mutagenic	Mutagenic
