Id	CAS	SMILES	Status	Experimental value 	Predicted value 
0	N.A.	OC(C)(C)C1CC=C(C)CC1	Training	Sensitizer	Sensitizer
1	N.A.	OCCOCCOCCOCCCC	Training	NON-Sensitizer	NON-Sensitizer
2	N.A.	O(CC)P(OCC)OCC	Training	NON-Sensitizer	NON-Sensitizer
3	N.A.	C=CCCCCCCCCCC	Training	Sensitizer	Sensitizer
4	N.A.	O=C(Nc1ccccc1C)CC(=O)C	Training	NON-Sensitizer	NON-Sensitizer
5	N.A.	C(CBr)Cl	Test	Sensitizer	Sensitizer
6	N.A.	O=C=NCC1(C)(CC(N=C=O)CC(C)(C)C1)	Training	Sensitizer	Sensitizer
7	N.A.	O=C(O)CC(O)(C(=O)O)CC(=O)O	Training	NON-Sensitizer	NON-Sensitizer
8	N.A.	C(=CCCCCCCC)C	Training	Sensitizer	Sensitizer
9	N.A.	C(CBr)CBr	Training	Sensitizer	Sensitizer
10	N.A.	O=C(OCC(CC)CCCC)C(=C)C	Training	Sensitizer	Sensitizer
11	N.A.	Oc1ccc(cc1)CCCCCCCCC	Training	Sensitizer	Sensitizer
12	N.A.	O=CC(C)Cc1ccc(cc1)C(C)(C)C	Training	Sensitizer	Sensitizer
13	N.A.	O=C(O)CCCCCCCCC=C	Test	Sensitizer	Sensitizer
14	N.A.	O=C(OCCCCCCC)CCC	Training	Sensitizer	NON-Sensitizer
15	N.A.	OC(C=CC1=C(C)CCCC1(C)C)C	Training	NON-Sensitizer	NON-Sensitizer
16	N.A.	Fc1ccc(cc1)Br	Test	NON-Sensitizer	NON-Sensitizer
17	N.A.	OC(C)(CCC=C(C)C)C1OC1	Training	Sensitizer	Sensitizer
18	N.A.	O=C(OCC(CC)CCCC)c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC	Training	NON-Sensitizer	NON-Sensitizer
19	N.A.	OCCCCCCCCC=CCCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
20	N.A.	Nc1ccc(cc1C)C	Training	NON-Sensitizer	NON-Sensitizer
21	N.A.	O=C(OCCOCCCC)C	Training	NON-Sensitizer	NON-Sensitizer
22	N.A.	O=C(OCC)C	Training	NON-Sensitizer	NON-Sensitizer
23	N.A.	OC1CC(C)CCC1(C(C)C)	Training	NON-Sensitizer	NON-Sensitizer
24	N.A.	OCCCCCCCCCCCCCCCC	Test	NON-Sensitizer	NON-Sensitizer
25	N.A.	OCCOCCOCC	Training	NON-Sensitizer	NON-Sensitizer
26	N.A.	OCCCCO	Training	NON-Sensitizer	NON-Sensitizer
27	N.A.	O=C(N)NC(NC(=O)N)C(C)C	Training	NON-Sensitizer	NON-Sensitizer
28	N.A.	O=C(OCCO)C(=C)C	Training	NON-Sensitizer	NON-Sensitizer
29	N.A.	O=CC=CC=CC	Training	Sensitizer	Sensitizer
30	N.A.	O=C(OC)CCCCC	Training	NON-Sensitizer	NON-Sensitizer
31	N.A.	O=S(=O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Test	NON-Sensitizer	NON-Sensitizer
32	N.A.	N#Cc1ccccc1(C#N)	Training	NON-Sensitizer	NON-Sensitizer
33	N.A.	O=C(c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C)C	Training	NON-Sensitizer	NON-Sensitizer
34	N.A.	c1cc(ccc1C)Cl	Training	NON-Sensitizer	NON-Sensitizer
35	N.A.	OC(C)CC	Training	NON-Sensitizer	NON-Sensitizer
36	N.A.	O=C(OCC)C=C	Training	NON-Sensitizer	NON-Sensitizer
37	N.A.	C=C(C(=C)Cl)Cl	Training	NON-Sensitizer	NON-Sensitizer
38	N.A.	Oc1c(cc(cc1Br)Br)Br	Test	NON-Sensitizer	NON-Sensitizer
39	N.A.	OC1CCCCC1	Training	Sensitizer	Sensitizer
40	N.A.	OC(CC(C)C)CC(C)C	Training	NON-Sensitizer	NON-Sensitizer
41	N.A.	N12(CCN(CC1)CC2)	Training	Sensitizer	Sensitizer
42	N.A.	Oc2cccc(Oc1ccccc1)c2	Test	Sensitizer	Sensitizer
43	N.A.	O=C1NC(=O)c2ccccc12	Training	NON-Sensitizer	NON-Sensitizer
44	N.A.	O=C(C)C	Training	NON-Sensitizer	NON-Sensitizer
45	N.A.	O=C(Nc1ccccc1)CC(=O)C	Training	NON-Sensitizer	NON-Sensitizer
46	N.A.	OCCOC	Training	NON-Sensitizer	NON-Sensitizer
47	N.A.	OC(C)(C)CCc1ccccc1	Training	NON-Sensitizer	NON-Sensitizer
48	N.A.	OC(C)COCCC	Test	NON-Sensitizer	NON-Sensitizer
49	N.A.	O=C(C)CCc1ccccc1	Training	NON-Sensitizer	NON-Sensitizer
50	N.A.	O=C(OC)CCCCCCCCCCC	Training	Sensitizer	Sensitizer
51	N.A.	Oc1c(cc(cc1C(C)(C)C)Cc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)C(C)(C)C	Training	NON-Sensitizer	NON-Sensitizer
52	N.A.	O=C(C=CC1=CCCC(C)C1(C)C)C	Training	NON-Sensitizer	NON-Sensitizer
53	N.A.	O=C(OC)C=C	Training	Sensitizer	Sensitizer
54	N.A.	O=C(OCCN(C)C)C(=C)C	Training	Sensitizer	Sensitizer
55	N.A.	Oc1ccc2ccccc2(c1)	Training	NON-Sensitizer	NON-Sensitizer
56	N.A.	n1c(nc(nc1N)c2ccccc2)N	Training	NON-Sensitizer	NON-Sensitizer
57	N.A.	O=C(OCc1ccccc1)C	Test	NON-Sensitizer	NON-Sensitizer
58	N.A.	O=C(OC1CC2CCC1(C)C2(C)(C))C	Training	Sensitizer	Sensitizer
59	N.A.	O=C(OC(C)C)CCCCCCCCCCCCCCC(C)C	Training	NON-Sensitizer	NON-Sensitizer
60	N.A.	O=C1C(=C(C)CC1)CC=CCC	Training	Sensitizer	Sensitizer
61	N.A.	O=[N+]([O-])c1ccccc1Cl	Training	NON-Sensitizer	NON-Sensitizer
62	N.A.	OCCOCCOCCOCCOCCCC	Training	NON-Sensitizer	NON-Sensitizer
63	N.A.	Oc1ccccc1(OC)	Training	Sensitizer	Sensitizer
64	N.A.	OC(C)C	Training	NON-Sensitizer	NON-Sensitizer
65	N.A.	C(Cl)Cl	Test	Sensitizer	Sensitizer
66	N.A.	O=[N+]([O-])c1cc(ccc1Cl)Cl	Training	NON-Sensitizer	NON-Sensitizer
67	N.A.	OCCN(C)C	Training	Sensitizer	Sensitizer
68	N.A.	O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC	Training	NON-Sensitizer	NON-Sensitizer
69	N.A.	OCCN(CC)CC	Test	NON-Sensitizer	NON-Sensitizer
70	N.A.	O=C(O)c1cnccc1	Training	NON-Sensitizer	NON-Sensitizer
71	N.A.	O=C(OC)CCCCCCCCCCCCCCC	Training	Sensitizer	Sensitizer
72	N.A.	O=C1C=C(C)CC(C)(C)C1	Training	NON-Sensitizer	NON-Sensitizer
73	N.A.	O=C(C)CC(=O)C	Training	NON-Sensitizer	NON-Sensitizer
74	N.A.	N#CCCN(CC)CC	Training	NON-Sensitizer	NON-Sensitizer
75	N.A.	O=S(=O)(O)c2cc(N)ccc2(C=Cc1ccc(N)cc1S(=O)(=O)O)	Training	NON-Sensitizer	NON-Sensitizer
76	N.A.	O=[N+]([O-])c1ccc(cc1)Cl	Training	NON-Sensitizer	NON-Sensitizer
77	N.A.	O=Cc1ccc(O)c(OC)c1	Test	NON-Sensitizer	NON-Sensitizer
78	N.A.	c1ccc(cc1)P(c2ccccc2)c3ccccc3	Training	Sensitizer	Sensitizer
79	N.A.	O=C(OO)C	Training	NON-Sensitizer	NON-Sensitizer
80	N.A.	O=CC1CCC(=CC1(C))C	Training	Sensitizer	Sensitizer
81	N.A.	Nc1ccc(cc1)C	Training	NON-Sensitizer	NON-Sensitizer
82	N.A.	O1CC1CCl	Training	NON-Sensitizer	NON-Sensitizer
83	N.A.	Nc1ccccc1C	Training	NON-Sensitizer	NON-Sensitizer
84	N.A.	O=CCC(C)CCCC(O)(C)C	Training	NON-Sensitizer	NON-Sensitizer
85	N.A.	O=C(OCC=C)COc1ccccc1	Test	NON-Sensitizer	NON-Sensitizer
86	N.A.	O=C(OC(=O)C(C)C)C(C)C	Training	NON-Sensitizer	NON-Sensitizer
87	N.A.	Oc1ccc(cc1)C(C)(C)CC(C)(C)C	Training	NON-Sensitizer	Sensitizer
88	N.A.	O=C(OCCCCCCCCCCCCCCCCCC)CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C	Training	NON-Sensitizer	NON-Sensitizer
89	N.A.	O=C(OCC(CC)CCCC)CCCCCCCCCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
90	N.A.	OCCOCCOCCOCC	Training	NON-Sensitizer	NON-Sensitizer
91	N.A.	OC1CCC(CC1)C(C)(C)CC	Training	Sensitizer	Sensitizer
92	N.A.	OC(C)COC	Training	NON-Sensitizer	NON-Sensitizer
93	N.A.	O=C(C(=O)C)C	Test	NON-Sensitizer	NON-Sensitizer
94	N.A.	O=C(N(C)C)C	Training	NON-Sensitizer	NON-Sensitizer
95	N.A.	O=C(OCC)C(C)(C)C	Training	NON-Sensitizer	NON-Sensitizer
96	N.A.	C=CCCC=C	Training	NON-Sensitizer	NON-Sensitizer
97	N.A.	n1c(nc(nc1Cl)Cl)Cl	Training	NON-Sensitizer	NON-Sensitizer
98	N.A.	n2c1ccccc1sc2SN(C3CCCCC3)C4CCCCC4	Training	NON-Sensitizer	NON-Sensitizer
99	N.A.	O=C1N(CO)C(O)C(O)N1CO	Training	NON-Sensitizer	NON-Sensitizer
100	N.A.	OCC	Test	NON-Sensitizer	NON-Sensitizer
101	N.A.	O=C(OCCCC)CC	Training	NON-Sensitizer	NON-Sensitizer
102	N.A.	O=C(Oc1ccccc1)Oc2ccccc2	Training	NON-Sensitizer	NON-Sensitizer
103	N.A.	O=C1OCC(C)(C)C1(O)	Training	NON-Sensitizer	NON-Sensitizer
104	N.A.	O=CC=Cc1ccccc1	Training	Sensitizer	Sensitizer
105	N.A.	O=C(O)C(O)C(O)C(O)C(O)CO	Training	NON-Sensitizer	NON-Sensitizer
106	N.A.	N(C)(C)CCCC	Test	Sensitizer	Sensitizer
107	N.A.	OC(C)C1CCCCC1	Training	Sensitizer	Sensitizer
108	N.A.	Oc1ccc(cc1C(C)(C)C)C	Training	Sensitizer	Sensitizer
109	N.A.	OCC=C	Training	NON-Sensitizer	NON-Sensitizer
110	N.A.	C=C2C1CCC(C1)C2(C)C	Test	NON-Sensitizer	NON-Sensitizer
111	N.A.	Oc1ccccc1C(C)(C)C	Training	Sensitizer	Sensitizer
112	N.A.	O=C1N(C(=O)N(C(=O)N1CCO)CCO)CCO	Training	NON-Sensitizer	NON-Sensitizer
113	N.A.	O=C(OC)CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C	Training	NON-Sensitizer	NON-Sensitizer
114	N.A.	O=C(OC(OCCCOC)CC)C	Training	NON-Sensitizer	NON-Sensitizer
115	N.A.	c1ccc(cc1)CCBr	Training	NON-Sensitizer	NON-Sensitizer
116	N.A.	OC(C=C)(C)CCC=C(C)CCC=C(C)CCC=C(C)C	Training	Sensitizer	NON-Sensitizer
117	N.A.	O=C1NCCCCCCCCCCC1	Training	NON-Sensitizer	NON-Sensitizer
118	N.A.	OC(C)CC(O)(C)C	Training	NON-Sensitizer	NON-Sensitizer
119	N.A.	CCCCCCBr	Training	Sensitizer	Sensitizer
120	N.A.	[O-][N+](C)(C)CCCCCCCCCCCCCCCCCC	Test	NON-Sensitizer	NON-Sensitizer
121	N.A.	O=C(OCCO)C=C	Test	Sensitizer	Sensitizer
122	N.A.	O=C(O[Si](OC(=O)C)(OC(=O)C)C)C	Training	Sensitizer	NON-Sensitizer
123	N.A.	OCCOc1ccccc1	Training	NON-Sensitizer	NON-Sensitizer
124	N.A.	O=S(=O)(O)OCCCCCCCCCCCC	Training	Sensitizer	Sensitizer
125	N.A.	O=C(OC)C(C)(C)C	Training	NON-Sensitizer	NON-Sensitizer
126	N.A.	O1C2(C)(CCC1(CC2)C(C)C)	Training	Sensitizer	Sensitizer
127	N.A.	O=C(OCC)CC(=O)OCC	Training	NON-Sensitizer	NON-Sensitizer
128	N.A.	OCC(CO)(CO)CC	Training	NON-Sensitizer	NON-Sensitizer
129	N.A.	O(C)CCCN	Training	Sensitizer	Sensitizer
130	N.A.	O=C(OC)CCCCCCCC=CCC=CCCCCC	Training	Sensitizer	Sensitizer
131	N.A.	OC(C=CC1C(=CCCC1(C)(C))C)C	Training	NON-Sensitizer	NON-Sensitizer
132	N.A.	O=C(O)c1cccc(c1)C	Training	NON-Sensitizer	NON-Sensitizer
133	N.A.	O=C(OCC(OC(=O)C)COC(=O)C)C	Test	NON-Sensitizer	NON-Sensitizer
134	N.A.	Oc1ccc(cc1(OC))CC=C	Training	Sensitizer	Sensitizer
135	N.A.	Fc1ccccc1C	Training	NON-Sensitizer	NON-Sensitizer
136	N.A.	C(CCCBr)CCBr	Training	NON-Sensitizer	NON-Sensitizer
137	N.A.	O=C(O)CCCCCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
138	N.A.	CC(Cl)(Cl)Cl	Test	Sensitizer	Sensitizer
139	N.A.	OC(OCCCC)CC	Training	Sensitizer	Sensitizer
140	N.A.	O=CN(C)C	Training	NON-Sensitizer	NON-Sensitizer
141	N.A.	O=C(OCc1ccccc1)c2ccccc2	Training	NON-Sensitizer	NON-Sensitizer
142	N.A.	O=[N+]([O-])c1ccc(c(c1)Cl)Cl	Test	NON-Sensitizer	NON-Sensitizer
143	N.A.	C(=CCCCCCCCCCC)C	Training	NON-Sensitizer	NON-Sensitizer
144	N.A.	O=CC(c1ccccc1)C	Training	Sensitizer	Sensitizer
145	N.A.	O=C(NCCNC(=O)CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
146	N.A.	NCCN	Training	NON-Sensitizer	NON-Sensitizer
147	N.A.	OCCOCCOCCOCCOC	Training	NON-Sensitizer	NON-Sensitizer
148	N.A.	O=[N+]([O-])c1cccc(c1)Cl	Training	Sensitizer	Sensitizer
149	N.A.	c1ccc(cc1)Nc2ccc(cc2)NC(C)C	Training	NON-Sensitizer	NON-Sensitizer
150	N.A.	O=CC(C)Cc1ccc(cc1)C(C)C	Training	Sensitizer	Sensitizer
151	N.A.	O=C(OCC(OC(=O)CCCCCCCCCC)COC(=O)CCCCCCCCCC)CCCCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
152	N.A.	Oc1ccc(cc1C)Cl	Training	Sensitizer	Sensitizer
153	N.A.	O=C(O)c1ccc(cc1)C(=O)O	Test	NON-Sensitizer	NON-Sensitizer
154	N.A.	N#CNC(=N)N	Training	NON-Sensitizer	NON-Sensitizer
155	N.A.	O=CCC(C)C	Training	NON-Sensitizer	NON-Sensitizer
156	N.A.	O=C(OC)CCCCCCCCCCCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
157	N.A.	O=CC=C(C)CCC=C(C)C	Training	NON-Sensitizer	Sensitizer
158	N.A.	O=P(OC)OC	Training	NON-Sensitizer	NON-Sensitizer
159	N.A.	OCc1ccccc1	Training	NON-Sensitizer	NON-Sensitizer
160	N.A.	O=C(OC=C)CCCCCC(C)(C)C	Test	NON-Sensitizer	NON-Sensitizer
161	N.A.	O=[N+]([O-])c1ccc(NC)c(c1)[N+](=O)[O-]	Training	NON-Sensitizer	NON-Sensitizer
162	N.A.	O=C1OCCCCC1	Training	NON-Sensitizer	NON-Sensitizer
163	N.A.	O=C2c1[nH]cnc1N(C(=O)N2C)C	Training	NON-Sensitizer	NON-Sensitizer
164	N.A.	n2c1ccccc1sc2SNC(C)(C)C	Training	NON-Sensitizer	NON-Sensitizer
165	N.A.	CC(CCl)Cl	Training	NON-Sensitizer	NON-Sensitizer
166	N.A.	OCCc1ccccc1	Test	NON-Sensitizer	NON-Sensitizer
167	N.A.	O(CC)C(OCC)C=C(C)CCC=C(C)C	Training	Sensitizer	Sensitizer
168	N.A.	O=C(OC(C)C)CCCCCCCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
169	N.A.	O=C(N=NC(=O)N)N	Training	NON-Sensitizer	NON-Sensitizer
170	N.A.	O=C(OCCOC(=O)CBr)CBr	Test	Sensitizer	Sensitizer
171	N.A.	OCC(OCC(OC)C)C	Training	NON-Sensitizer	NON-Sensitizer
172	N.A.	O=C(OCC=C)CCCCCC	Training	Sensitizer	Sensitizer
173	N.A.	Fc1ccccc1	Training	NON-Sensitizer	NON-Sensitizer
174	N.A.	O=C(OCC)C(=CC)C	Training	NON-Sensitizer	NON-Sensitizer
175	N.A.	O=CC(C)C	Training	NON-Sensitizer	NON-Sensitizer
176	N.A.	n1c(nc(nc1N)N)N	Test	NON-Sensitizer	NON-Sensitizer
177	N.A.	O=C(OCC(C)C)C	Training	NON-Sensitizer	NON-Sensitizer
178	N.A.	OCC1OCCC1	Training	NON-Sensitizer	NON-Sensitizer
179	N.A.	OCC(O)C	Training	NON-Sensitizer	NON-Sensitizer
180	N.A.	c1ccc2c(c1)CCCC2	Training	Sensitizer	Sensitizer
181	N.A.	C(=C(Cl)Cl)Cl	Training	Sensitizer	Sensitizer
182	N.A.	Oc1nc(O)nc(O)n1	Training	NON-Sensitizer	NON-Sensitizer
183	N.A.	OCCS	Training	Sensitizer	Sensitizer
184	N.A.	N(C)(C)C(C)C	Training	Sensitizer	Sensitizer
185	N.A.	O=Cc1ccccc1(O)	Training	NON-Sensitizer	NON-Sensitizer
186	N.A.	O=C(OCCCCCC)c1ccccc1(O)	Test	Sensitizer	Sensitizer
187	N.A.	OCCCOCCCO	Training	NON-Sensitizer	NON-Sensitizer
188	N.A.	O=C1OC(=O)c2ccccc12	Test	NON-Sensitizer	NON-Sensitizer
189	N.A.	CSSC	Training	Sensitizer	Sensitizer
